Site Name,decimalLatitude,decimalLongitude,Depth,Chl_a_sum_mean_monthly_max,Chl_a_sum_median_monthly_max,Chl_a_sum_overall_mean,Chl_a_sum_overall_median,Chl_a_sum_cv_monthly_mean,Chl_a_sum_sd_monthly_mean,NO3_mean_monthly_max,NO3_median_monthly_max,NO3_overall_mean,NO3_overall_median,NO3_cv_monthly_mean,NO3_sd_monthly_mean,Oxygen_mean_monthly_max,Oxygen_median_monthly_max,Oxygen_overall_mean,Oxygen_overall_median,Oxygen_cv_monthly_mean,Oxygen_sd_monthly_mean,PH_mean_monthly_max,PH_median_monthly_max,PH_overall_mean,PH_overall_median,PH_cv_monthly_mean,PH_sd_monthly_mean,alk_mean_monthly_max,alk_median_monthly_max,alk_overall_mean,alk_overall_median,alk_cv_monthly_mean,alk_sd_monthly_mean,omega_ar_mean_monthly_max,omega_ar_median_monthly_max,omega_ar_overall_mean,omega_ar_overall_median,omega_ar_cv_monthly_mean,omega_ar_sd_monthly_mean
Ahya_100a,-23.90718265,152.3868982,-0.5,1.196868767555459,1.146910095901814,0.8796412735646414,0.8077145465595418,27.73431029249238,0.2439624402712494,2.4756737471184267,1.6025261882218655,0.7972220700724335,0.5468649851957059,77.08805404202394,0.6145629802123794,7085.253301205904,7052.911150613292,7002.478155719728,6971.561296045552,2.818463817661893,197.36231315863836,8.121897684,8.119265034972154,8.11127638,8.108489012,0.33302133403935774,0.027012280806917744,2250.1938477712356,2250.6697468010975,2247.4651176557477,2247.389901483185,0.19672089622024702,4.421233521689816,3.721995801701571,3.7237505026158377,3.676304779874832,3.692379714791695,1.8623650319076348,0.068466215
Ahya_100b,-14.65088219,145.6385087,-0.5,0.478268143,0.4960455626648956,0.2729759683050693,0.23659495350137685,59.58835781730891,0.16266189674888848,2.117454398229754,1.1466655743213654,0.7771467021552401,0.30748795616461533,144.62981564190426,1.1239858425942626,6884.049479532383,6881.444489170261,6776.252268754351,6768.1392193750335,2.117648618118147,143.49721252947606,8.080334125592568,8.079743741330047,8.067733559126172,8.068080776,0.2926964614099732,0.023613971,2254.8921963317284,2255.5286984079908,2250.556198838851,2251.932223269054,0.25357611524460344,5.706872980412171,3.809626500473994,3.803135179582615,3.748151307672896,3.7475392461715726,1.8875640086394367,0.070748755
Ahya_101a,-23.90718332,152.3868906,-3,1.212176673326871,1.156651498741737,0.8900486209012523,0.8177554630882812,27.859758850892835,0.24796539943878623,2.492530988613653,1.612446600388058,0.8036291492858819,0.550641158,77.39899817353762,0.6220009105777956,7082.836229096992,7060.552037163733,7006.264611,6986.232481251226,2.853500352926902,199.92378541341688,8.121587857,8.118874991,8.111095736223144,8.108141463055693,0.33296028438926195,0.027006727,2250.189572054916,2250.6686832609635,2247.4628631763594,2247.3866962532607,0.19672749138617457,4.421377310562744,3.7218552979560267,3.724225234751575,3.6763942505138028,3.6917935348328017,1.8653776513160105,0.068578637
Ahya_101b,-14.65092226,145.6384919,-0.5,0.4782541945879098,0.4960371284397887,0.27297546191452476,0.2366267688473828,59.58800092,0.16266062076961874,2.1174099354455067,1.1469197044794284,0.7771531564547212,0.30752812736899793,144.62346618183958,1.1239458324063925,6884.046203494495,6881.426935,6776.2521010623395,6768.142737586113,2.1176421052062957,143.49676764702235,8.080333844533964,8.079743442249487,8.067733718507005,8.068082774,0.2926970400744023,0.023614017795154513,2254.892045581008,2255.5288046301857,2250.556137018402,2251.9321807068145,0.25357758473494735,5.706905895355395,3.809623915118558,3.803127128003456,3.7481504106295556,3.747539878415613,1.887557971349443,0.070748512
Ahya_102a,-23.90717134,152.3868998,-3,1.2121924824008978,1.1566937534242514,0.8900587332017471,0.8177724004842116,27.860212653338994,0.2479722558096219,2.4927144572669633,1.6125627845493995,0.8036698816213975,0.550650015,77.40106949408214,0.6220490835767855,7082.838218383889,7060.555855942236,7006.265986083041,6986.234534740827,2.8535117232444445,199.92462127456756,8.121588157183027,8.118875443187365,8.111096092979047,8.108141857743805,0.33295909058318834,0.027006631787511552,2250.1895498156064,2250.668654806719,2247.462837662833,2247.3866836614275,0.196726966,4.421365446289563,3.721856071113131,3.724226821519354,3.6763952816574963,3.6917984009020848,1.8653621697782823,0.068578087
Ahya_102b,-14.65098512,145.6384826,-0.5,0.47821825684119496,0.496017922,0.2729689610758849,0.23668596510901072,59.586902505746956,0.1626537487072379,2.1173854181523524,1.1475794375395167,0.7771922475523785,0.30760526015300493,144.60462393886323,1.1238559268551158,6884.037987003415,6881.397199359758,6776.250386965287,6768.146234488143,2.1176253353607013,143.49559498185448,8.080333256,8.079742826386829,8.067733924412597,8.068087030859932,0.29269732528174586,0.023614041,2254.8918623878108,2255.5290362975543,2250.5561917446553,2251.9321750559766,0.2535767914731616,5.706888181326671,3.8096197456715197,3.8031123747307296,3.7481493780535065,3.747542132691152,1.8875475673247635,0.070748102
Ahya_102b_R2023,-14.65102,145.6384435,-0.5,0.47822601596406833,0.4960190115703856,0.27297667173875206,0.2367008320218216,59.587358337146526,0.16265958756578638,2.1172813358014473,1.1474309050021836,0.7771565024339464,0.30762057199548837,144.61171234660253,1.1238593257826957,6884.039487551611,6881.384813074023,6776.252313,6768.1522374926035,2.1176289449791024,143.49588036994876,8.080333218,8.079742771776898,8.067734129,8.068087194854252,0.29269872865340596,0.023614155225373985,2254.8916527408383,2255.5290373431135,2250.555920064118,2251.932049978009,0.2535825235812948,5.707016496706817,3.80961762,3.8031082878299216,3.7481480483636322,3.747540886497085,1.8875435668027023,0.070747927
Ahya_103a,-23.90710185,152.3869429,-0.5,1.1969701907722612,1.1470399370436115,0.8797045983971519,0.8078597795974386,27.737377233636767,0.24400698299906737,2.476817647,1.6037828368199591,0.7974588653847278,0.5469070495170684,77.10334496939862,0.6148674599666387,7085.266903483734,7052.923115223193,7002.487354230287,6971.572969030397,2.8185287182540546,197.36711707108915,8.121899513919793,8.119267191931478,8.111278587,8.108492038314498,0.33301408286402817,0.027011699994530215,2250.193611874109,2250.6695386082315,2247.464855894819,2247.389525725065,0.1967177420390982,4.421162118,3.7220002725501176,3.7237454219148014,3.6763107938949777,3.692406390928013,1.8622696368026659,0.06846282
Ahya_103b,-14.65098856,145.6384714,-0.5,0.4782250457749214,0.49602058532832977,0.2729721778500762,0.23668350290059648,59.587178454388955,0.16265641874635692,2.1173556163843763,1.147452981787447,0.7771762740099477,0.30760078304830163,144.6091342801077,1.123867881676183,6884.039453008488,6881.396889728466,6776.251201405846,6768.1477041726075,2.1176284997109605,143.49582665297655,8.080333315328561,8.079742884,8.067733963934245,8.068086568,0.2926977328628618,0.023614074,2254.891818453313,2255.5290086589584,2250.5560995256847,2251.932136331079,0.2535786935182545,5.706930754072618,3.809619579458605,3.803112868941322,3.7481490837620437,3.7475414676012258,1.8875475620128626,0.070748097
Ahya_103b_R2023,-14.650971,145.6384252,-0.5,0.4782750284839082,0.4960428944138728,0.27299028081294946,0.23664090921354117,59.58901780788041,0.1626722270474112,2.1172328720270412,1.1465271644872437,0.7770827879691691,0.3075395231687909,144.63967880727358,1.123970048585213,6884.050488761828,6881.411240689684,6776.255821148238,6768.1525480475575,2.1176518116149423,143.49750415620863,8.080333897020255,8.079743470688264,8.067734034865497,8.068082204510546,0.2926994384349299,0.023614212,2254.8917154039036,2255.5287599048916,2250.555650353789,2251.9319629029446,0.2535877809598143,5.707134132997892,3.809621032498105,3.803122940584295,3.74814829,3.747537242342737,1.8875530532436149,0.070748287
