Site,Variable,Latitude,Longitude,seasonal_mean_Autumn,seasonal_mean_Spring,seasonal_mean_Summer,seasonal_mean_Winter,seasonal_sd_Autumn,seasonal_sd_Spring,seasonal_sd_Summer,seasonal_sd_Winter,seasonal_n_Autumn,seasonal_n_Spring,seasonal_n_Summer,seasonal_n_Winter,seasonal_range,dominant_season
Ahya_100a,u,-23.90718265,152.3868982,-0.0030463583726586074,0.00865428354313898,-0.0018126002149901096,0.005402758455970755,0.01336210881385995,0.009330597757824192,0.013420728927586358,0.010116694359032442,27,27,29,27,0.011700641915797588,Spring
Ahya_100a,v,-23.90718265,152.3868982,0.007816146450249445,-0.0056110911425398735,-5.575598577672881e-4,0.004053589862107571,0.01602036495177539,0.011468210964624479,0.0163120908858009,0.012382791443720781,27,27,29,27,0.01342723759278932,Autumn
Ahya_100a,wspeed_u,-23.90718265,152.3868982,-4.364121435314479,-2.891793337095448,-4.489160769877729,-2.159294114551198,1.5023424840329251,1.4245675008017908,1.1538582902957846,1.1398932126156869,27,27,29,27,2.329866655326531,Winter
Ahya_100a,wspeed_v,-23.90718265,152.3868982,3.63243680178091,8.930413613780261e-5,1.6286242936006259,2.994376454478058,1.7897447981441572,1.7354474476181765,1.9534193367346198,1.6917512010242002,27,27,29,27,3.6323474976447723,Autumn
Ahya_100b,u,-14.65088219,145.6385087,-0.10997828820321143,-0.1676541853056638,-0.09498980132136958,-0.14440062210097585,0.026506252603414406,0.02613932594242754,0.04429487957150377,0.023918839102980666,27,27,29,27,0.07266438398429423,Summer
Ahya_100b,v,-14.65088219,145.6385087,0.17611334404121054,0.14029341159125905,0.1529469535315494,0.16834077100355327,0.048139990836551405,0.04863653364107408,0.0696501317676773,0.04431973642270096,27,27,29,27,0.03581993244995149,Autumn
Ahya_100b,wspeed_u,-14.65088219,145.6385087,-5.143217478497519,-6.048122371807897,-1.6921167436089473,-6.589666365613922,1.8283473488496467,1.0698010713174686,1.8557016242417883,0.6042677595151734,27,27,29,27,4.897549622004974,Summer
Ahya_100b,wspeed_v,-14.65088219,145.6385087,5.02443531729779,4.110718296699353,1.0513324909066957,6.426498043331191,2.191609055710069,1.5277763375164648,1.2531562407679844,1.0524298009109927,27,27,29,27,5.375165552424495,Winter
Ahya_101a,u,-23.90718332,152.3868906,0.007903972564449555,0.014534817121593584,0.009535558237070979,0.010638767556796585,0.00996400648537985,0.00603759745547989,0.010806413932562767,0.006904595218240406,27,27,29,27,0.006630844557144029,Spring
Ahya_101a,v,-23.90718332,152.3868906,-0.0031513702034776945,-0.007385780518518519,-0.0067082206768444225,-0.004370113789371568,0.011759655457034796,0.007669092690985845,0.011792886194347546,0.008578091438288811,27,27,29,27,0.004234410315040824,Autumn
