Site,Latitude,Longitude,mean_u,mean_v,mean_wind_speed,sd_wind_speed,cv_wind_speed,min_wind_speed,max_wind_speed,wind_speed_range,vector_magnitude,mean_wind_direction,directional_constancy,directional_variability,predominant_wind_sector,trade_wind_component,alongshore_wind_component,crossshore_wind_component,easterly_exposure,westerly_exposure,northerly_exposure,southerly_exposure,summer_wind_speed,autumn_wind_speed,winter_wind_speed,spring_wind_speed,seasonal_wind_range,dominant_wind_season,summer_winter_wind_diff,mean_wave_energy_proxy,extreme_wind_frequency,calm_wind_frequency,wind_transport_potential,wind_dispersal_symmetry,wind_retention_potential,n_months,n_years,wind_exposure_category,directional_consistency_category,seasonal_variability_category,wind_regime_type,variable_type,mean_current_speed,sd_current_speed,cv_current_speed,min_current_speed,max_current_speed,current_speed_range,mean_current_direction,predominant_current_sector,alongshore_current_component,crossshore_current_component,summer_current_speed,autumn_current_speed,winter_current_speed,spring_current_speed,seasonal_current_range,dominant_current_season,summer_winter_current_diff,extreme_current_frequency,calm_current_frequency,current_transport_potential,current_dispersal_symmetry,current_retention_potential,current_exposure_category,current_regime_type
Ahya_100a,-23.90718265,152.3868982,2.8507158782049187,8.427649365597965,9.180187954552032,1.9733448268264846,0.21495690900838188,4.961390027900137,12.978164342781822,8.016774314881685,8.896732818721343,198.68849485288354,0.9691231664063984,0.030876833593601605,S,3.9434874871619647,8.427649365597965,2.8507158782049187,3.0671431905106985,0.21642731230577966,8.427649365597965,0,8.703986754422697,9.816660001875778,10.384361687157352,7.851017537724843,2.5333441494325086,Winter,1.6803749327346544,877.6179697781357,5.454545454545454,0,8.896732818721343,0.6894708591678256,0.0033634206343554443,110,11,Exposed,Consistent,High,Steady_Strong,wind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahya_100b,-14.65088219,145.6385087,-0.04886645434010822,8.257223244736386,9.370753724503091,1.7651277317982565,0.1883656089672613,5.097962820449269,15.283428386136638,10.18546556568737,8.257367839921791,179.6609260976897,0.8811850233914519,0.11881497660854812,S,5.873292351360719,8.257223244736386,-0.04886645434010822,1.8964317033388436,1.9452981576789516,8.257223244736386,0,8.609084201641116,10.221003939569092,10.329449139644709,8.37989758181389,1.9495515578308193,Winter,1.720364938003593,911.3965153933705,5.454545454545454,0,8.257367839921791,0.9947852162401484,0.012679340435323264,110,11,Exposed,Consistent,Moderate,Steady_Strong,wind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahya_101a,-23.90718332,152.3868906,2.8507131033424495,8.427649042255194,9.180186987891318,1.9733452028219152,0.2149569726003142,4.961394633542285,12.978164235706396,8.01676960216411,8.896731623298145,198.68847859196768,0.9691231382359584,0.030876861764041585,S,3.9434892206481673,8.427649042255194,2.8507131033424495,3.067140636169722,0.2164275328272727,8.427649042255194,0,8.703985100958372,9.816658890787895,10.384361681091809,7.851016492574082,2.5333451885177265,Winter,1.6803765801334372,877.6177503677927,5.454545454545454,0,8.896731623298145,0.6894711287359893,0.0033634240571317575,110,11,Exposed,Consistent,High,Steady_Strong,wind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahya_101b,-14.65092226,145.6384919,-0.048871494001195226,8.257228527558626,9.370754615734848,1.765128943307016,0.1883657203383717,5.097986784881674,15.283434134306377,10.185447349424702,8.25737315247736,179.66089134632358,0.881185506513215,0.11881449348678497,S,5.873299650458678,8.257228527558626,-0.048871494001195226,1.8964258880148581,1.9452973820160535,8.257228527558626,0,8.609077091128635,10.22100424541347,10.329458616845514,8.379899066930012,1.9495595499155023,Winter,1.7203815257168795,911.3968579138837,5.454545454545454,0,8.25737315247736,0.9947846789287244,0.012679287673084332,110,11,Exposed,Consistent,Moderate,Steady_Strong,wind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahya_102a,-23.90717134,152.3868998,2.8507146286651817,8.4276486657044,9.180187103361952,1.9733449077870338,0.214956937758312,4.961394229838527,12.978161690129015,8.016767460290488,8.896731755348974,198.68848867428758,0.9691231404304198,0.030876859569580195,S,3.9434878758205003,8.4276486657044,2.8507146286651817,3.0671421121651816,0.21642748350000002,8.4276486657044,0,8.703985596362934,9.816658004693894,10.384361787378277,7.851017210716332,2.5333445766619445,Winter,1.680376191015343,877.6177530404983,5.454545454545454,0,8.896731755348974,0.6894709664881233,0.003363423775782579,110,11,Exposed,Consistent,High,Steady_Strong,wind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahya_102b,-14.65098512,145.6384826,-0.04887203451133035,8.2572322441447,9.37075299081573,1.7651310631073613,0.18836597921611695,5.097999281636933,15.283385147874284,10.18538586623735,8.25737687219738,179.66088774856024,0.8811860562636141,0.11881394373638587,S,5.873302660680276,8.2572322441447,-0.04887203451133035,1.8964209729689745,1.9452930074803045,8.2572322441447,0,8.609078602853472,10.220996261551624,10.32946216879156,8.379895255100504,1.949566913691056,Winter,1.7203835659380875,911.3965886326596,5.454545454545454,0,8.25737687219738,0.9947846203438262,0.012679231205094763,110,11,Exposed,Consistent,Moderate,Steady_Strong,wind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahya_102b_R2023,-14.65102,145.6384435,-0.04888535384016073,8.257242268251568,9.370757324154567,1.7651319324622767,0.18836598488282028,5.09805017759445,15.283459792176497,10.185409614582047,8.257386974970979,179.6607957426162,0.8811867268919978,0.11881327310800216,S,5.873319166981955,8.257242268251568,-0.04888535384016073,1.896410794860029,1.9452961487001899,8.257242268251568,0,8.609056993896084,10.221006667508412,10.329483972501073,8.379903909398516,1.949580063102557,Winter,1.7204269786049888,911.3978440572182,5.454545454545454,0,8.257386974970979,0.9947832013839317,0.01267915377572981,110,11,Exposed,Consistent,Moderate,Steady_Strong,wind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahya_103a,-23.90710185,152.3869429,2.8504139606320478,8.426347043532118,9.179114954444906,1.9727354501070506,0.2149156492643957,4.967685989173144,12.976719331468907,8.009033342295762,8.895402421757463,198.68934052995553,0.9690915154570477,0.030908484542952253,S,3.9427800943610523,8.426347043532118,2.8504139606320478,3.0670289801690127,0.21661501953696516,8.426347043532118,0,8.702675093471655,9.81334592690735,10.383608459659758,7.852122179294435,2.531486280365323,Winter,1.6809333661881034,877.2730918726795,5.454545454545454,0,8.895402421757463,0.6894674514069834,0.003367261952415695,110,11,Exposed,Consistent,High,Steady_Strong,wind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahya_103b,-14.65098856,145.6384714,-0.04887624791139128,8.25723502113702,9.370754589806271,1.7651310732183205,0.18836594815304117,5.09801415868293,15.283415292242498,10.18540113355957,8.25737967407952,179.6608586274449,0.8811862049041486,0.11881379509585144,S,5.8733076036341325,8.25723502113702,-0.04887624791139128,1.8964183014763987,1.9452945493877898,8.25723502113702,0,8.609071456126472,10.22100059196628,10.329468764533678,8.379898519463822,1.9495702450698555,Winter,1.7203973084072057,911.397026122949,5.454545454545454,0,8.25737967407952,0.9947841716008058,0.01267921317938471,110,11,Exposed,Consistent,Moderate,Steady_Strong,wind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahya_103b_R2023,-14.650971,145.6384252,-0.048895483370039655,8.257245916668646,9.370762914054426,1.7651299735073256,0.18836566346801437,5.098076380956158,15.283580984352977,10.185504603396819,8.257390683299114,179.66072560767765,0.8811865969754226,0.11881340302457744,S,5.873328909461678,8.257245916668646,-0.048895483370039655,1.8964085927136218,1.9453040760836615,8.257245916668646,0,8.6090376695216,10.221024999494732,10.329497408501275,8.379915670887716,1.9495817376135598,Winter,1.7204597389796756,911.3992082341542,5.454545454545454,0,8.257390683299114,0.9947821235241471,0.012679160076324107,110,11,Exposed,Consistent,Moderate,Steady_Strong,wind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
